"Task","New Subtask","Shift+Insert","In Tasks View"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Text Editing","Scroll Other Window Down","Alt+PageUp","Editing Text"
"Text Editing","Next Line","Shift+Ctrl+N","Editing Text"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Run/Debug","Step Over","Ctrl+X Ctrl+A Ctrl+N","Debugging"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Text Editing","Backward Paragraph","Ctrl+Up","Editing Text"
"Text Editing","Delete Indentation","Alt+^","Editing Text"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Text Editing","Yank Pop","Alt+Y","Editing Text"
"Text Editing","Begin Line","Home","Editing Text"
"Run/Debug","Execute","Ctrl+U","In Windows"
